wiki_step,,ref,current_text,en,es
0,intro,0_intro,"Welcome to the KSVotes.org Online Voter Registration Application
This program will walk you through the process of filling out the federal voter registration form, create a completed image of the federal form, and ask you to sign using a stylus, finger, or mouse. Once completed, we will email the form to your county clerk to submit your registration form.
Hit next to get started!","Welcome to the KSVotes.org Online Voter Registration Application
This program will walk you through the process of filling out the federal voter registration form, create a completed image of the federal form, and ask you to sign using a stylus, finger, or mouse. Once completed, we will email the form to your county clerk to submit your registration form.

 Please enter your information below, and we'll check to see if you're already registered to vote in Kansas."
0,footer_priv,0_footer_priv,,Privacy Policy
0,footer_tos,0_footer_tos,,Terms of Service
0,footer_contact,0_footer_contact,,Contact Us
0,footer_partners,0_footer_partners,,KSVotes.org was built in partnership with Loud Light and GPS Impact
0,name_help,0_name_help,,"Enter your full name in this section. Do not use nicknames or initials. If this application is for a change of name, enter your current name here. We will ask you for your previous name later."
0,first,0_first,First Name,First Name,Primer Nombre
0,last,0_last,Last Name,Last Name
0,dob,0_dob,Date of Birth,Date of Birth
0,dob_help,0_dob_help,format mm/dd/yyyy required,Format mm/dd/yyyy required
0,dob_flag,0_dob_flag,,Make sure your date of birth is in the correct format (mm/dd/yyyy) and that you are at least 16 years old.
0,county,0_county,,Select a County...
0,county_help,0_county_help,,Enter the county in which you currently reside.
0,email,0_email,,Email Address
0,email_help,0_email_help,,Enter your email address. We will use it to send you a copy of your form to confirm the registration process. See our <Privacy Policy> and <Terms of Service> for more information.
0,email_flag,0_email_flag,,Must be a valid email address
0,phone,0_phone,Telephone,Phone Number
0,phone_help,0_phone_help,,In case there are questions about your application. This field is optional.
0,phone_flag,0_phone_flag,,Format 000-000-0000 required
0x,intro,0x_intro,,"Welcome to the KSVotes.org Online Voter Registration Application
This program will walk you through the process of filling out the federal voter registration form, create a completed image of the federal form, and ask you to sign using a stylus, finger, or mouse. Once completed, we will email the form to your county clerk to submit your registration form.

The information below was received from the page that directed you here. Please check it and edit anything that's incorrect, and we'll check to see if you're already registered to vote in Kansas."
0,match,0_match,,"You are registered to vote in Kansas, with the information below. If you wish to re-register to change your name, address, or political party, please continue by clicking Next.

Or, if the information below is fully up-to-date, click here to <apply to vote by mail>."
0,nomatch,0_nomatch,,"We couldn't find your information in the Kansas voter registration records. Please continue to the registration form by clicking Next.

Note: If you recently submitted a registration application, your information may still be in process. You can still <apply to vote by mail>."
